Identifier	Character	Dialogue	Filename	Line Number
coursPhysique_1456dcc3	dieuv	Ouah le prof est pas là !	game/coursPhysique.rpy	6
coursPhysique_4d93995c	met	Quoi ??	game/coursPhysique.rpy	11
coursPhysique_1afe7f49	met	J'aime tellement la physique...	game/coursPhysique.rpy	14
coursPhysique_0d1ab575	dieuv	Ben s'il est pas là, je m'en vais !	game/coursPhysique.rpy	19
coursPhysique_50a14f8c	foulk	Normallement il faut attendre 15 min !	game/coursPhysique.rpy	23
coursPhysique_4a2b2629	foulk	Et de toutes façons, c'est le prof qui a les clés, on est coincés ici...	game/coursPhysique.rpy	24
coursPhysique_b300eaf4	dieuv	Pfft ...	game/coursPhysique.rpy	29
coursPhysique_0fdc58e6	dieuv	Ben moi, je veux me tirer d'ici !	game/coursPhysique.rpy	30
coursPhysique_cbbdadee	innerpov	Quel rebelle ce Dieuvomi !	game/coursPhysique.rpy	32
coursPhysique_ed0c1273	dieuv	Allez medoc, va demander si le prof est là !	game/coursPhysique.rpy	34
coursPhysique_87939e42	med	Bon ok....	game/coursPhysique.rpy	40
coursPhysique_94be126b	med	Alors...	game/coursPhysique.rpy	41
coursPhysique_2713faaa	med	Esprism... Es-tu là ?	game/coursPhysique.rpy	43
coursPhysique_f5482a4f	inc	kr kr krr	game/coursPhysique.rpy	44
coursPhysique_ddb03860	esprism	Mais oui Je suis là !	game/coursPhysique.rpy	49
coursPhysique_f5e55378	esprism	Asseyez-vous !	game/coursPhysique.rpy	50
HardNight_8dffdd57	mog	Hey Medoc! Ça va?	game/HardNight.rpy	6
HardNight_2ba9f9a3	med	Oui ça va...	game/HardNight.rpy	10
HardNight_77610ce8	mog	T'es sûr?	game/HardNight.rpy	11
HardNight_38f84fb1	med	Oui je suis sûr. Pourquoi?	game/HardNight.rpy	12
HardNight_796203e0	mog	Bah je sais pas... T'as l'air fatigué.	game/HardNight.rpy	13
HardNight_6bba3e01	med	Ah oui? Non, mais ça va!	game/HardNight.rpy	14
HardNight_d153e734	mog	Tu peux me dire si t'as un problème... Vraiment t'as pas l'air bien!	game/HardNight.rpy	15
HardNight_09f051c8	med	Rhaaa mais non ! Ça va ! C'est juste que cette nuit c'était chaud...	game/HardNight.rpy	16
HardNight_5debfa1f	mog	Ah d'accord!	game/HardNight.rpy	17
HardNight_d6c48db3	med	Oui!	game/HardNight.rpy	18
HardNight_2dab8e22	mog	Et...	game/HardNight.rpy	19
HardNight_255f59bc	med	Eh bah c'était TRÈS TRÈS chaud!	game/HardNight.rpy	20
HardNight_648486dc	med	Oui... Voilà... Comme ça...	game/HardNight.rpy	29
HardNight_af0407af	med	Un coup à gauche. Un coup à droite.	game/HardNight.rpy	30
HardNight_09fdffa7	med	Hop la! C'est qui le boss ?	game/HardNight.rpy	31
HardNight_3a915332	med	[povname]? Oh! [povname]!	game/HardNight.rpy	32
HardNight_3e7d541c	med	[povname]???!!!	game/HardNight.rpy	40
HardNight_27ba72f9	mog	On dirait que t'es pas le seul qui n'a pas dormi cette nuit Medoc...	game/HardNight.rpy	44
HardNight_5d94915c	med	Ouais... En attendant, tu pourrais te pousser s'il te plaît? J'aimerais autant ne pas avoir à passer sous cette échelle pour aller en cours.	game/HardNight.rpy	61
HardNight_58e6b216	mog	Sinon Medoc, la prochaine fois, tu m'appelles?	game/HardNight.rpy	65
HardNight_69ece1c4	mog	Tu sais, sans vouloir te vexer, je peux te donner deux ou trois conseils...	game/HardNight.rpy	66
HardNight_8691de33	med	T'es sérieux là?	game/HardNight.rpy	67
HardNight_1c16a381	mog	Bah ouais!	game/HardNight.rpy	68
HardNight_49969232	mog	Allez vas-y! Plus vite! Là!	game/HardNight.rpy	77
HardNight_7a75207e	med	Mais enfin Moguri! Non, je peux pas...	game/HardNight.rpy	81
HardNight_601f9be5	mog	Mais si fais moi confiance! Ça passe !	game/HardNight.rpy	82
HardNight_aaf476f5	med	Mais non!	game/HardNight.rpy	83
HardNight_8fe48de2	mog	Mais si!	game/HardNight.rpy	84
HardNight_8627801d	mog	[povname] ça va?	game/HardNight.rpy	85
HardNight_f1a99bd8	med	[povname]?	game/HardNight.rpy	94
HardNight_852b191d	pov	Heu... oui?	game/HardNight.rpy	95
HardNight_f32da0e1	mog	T'as trouvé ça chaud ?	game/HardNight.rpy	99
HardNight_49b8a014	pov	Hin? Quoi????	game/HardNight.rpy	100
HardNight_81519ad8	med	Bah Sekiro!	game/HardNight.rpy	101
Ichoosemedoc_8bf9f1b9	innerpov	J'ai pas fini d'écrire, déso, clornide	game/ichoosemedoc.rpy	6
Ichoosemoguri_4daa155a	innerpov	Ca commence à faire un petit bout de temps que je l'attends, il ne devrait plus tarder...	game/ichoosemoguri.rpy	4
Ichoosemoguri_5064e3b7	innerpov	Je crois que je l'entends d'ailleurs, mais il a l'air de discuté avec quelqu'un.	game/ichoosemoguri.rpy	5
Ichoosemoguri_0264542f	mog	Et donc ?	game/ichoosemoguri.rpy	7
Ichoosemoguri_d79bcc91	inc	Et bien là je lui ai dit, 'QUOI !? JEUDICOUVERTE !?'. C'était hilarant !	game/ichoosemoguri.rpy	8
Ichoosemoguri_91e1eb4f	mog	Oui enfin, comme à ton habitude quoi... Tu devrais peut être arrêter de le taquiner avec ça, un jour il pourrait mal le prendre.	game/ichoosemoguri.rpy	9
Ichoosemoguri_461ee554	inc	Ahahah mais non, tout le monde sait que Dieuvomi et moi, c'est pour la vie !	game/ichoosemoguri.rpy	10
Ichoosemoguri_b7a0073c	innerpov	Ah, je les vois !	game/ichoosemoguri.rpy	12
Ichoosemoguri_f28072d0	chuen	Tiens, [povname] c'est bien ça ? Que fais-tu encore ici ?	game/ichoosemoguri.rpy	20
Ichoosemoguri_492df1bd	pov	Et bien je... Enfin j'aurais voulu discuter avec Moguri !	game/ichoosemoguri.rpy	21
Ichoosemoguri_cf6f0ff6	chuen	Ohoh ! Pas mal de succès Moguri à ce que je vois...	game/ichoosemoguri.rpy	23
Ichoosemoguri_307d1d4f	mog	Ahahah arrête de le taquiner, regarde comme il rougit !	game/ichoosemoguri.rpy	26
Ichoosemoguri_22872c84	mog	Ahahah arrête de la taquiner, regarde comme elle rougit !	game/ichoosemoguri.rpy	28
Ichoosemoguri_0d26bcd1	mog	D'ailleurs je crois que tu ne connais pas Chuen ?	game/ichoosemoguri.rpy	30
Ichoosemoguri_49529fa7	pov	Euh non, effectivement...	game/ichoosemoguri.rpy	31
Ichoosemoguri_552496b0	mog	Et bien je te présente Chuenpodo, l'élève le plus brillant de notre Académie !	game/ichoosemoguri.rpy	32
Ichoosemoguri_c0a4a172	chuen	Ahahah mais arrête enfin Moguri...	game/ichoosemoguri.rpy	34
Ichoosemoguri_e6f2c245	mog	Il est aussi manager de l'équipe de cheerleaders de l'école, donc si tu veux l'intégrer, il faudra te présenter à lui.	game/ichoosemoguri.rpy	36
Ichoosemoguri_6d6d5795	chuen	Effectivement, je te les présenterai demain après les cours si ça t'intéresse.	game/ichoosemoguri.rpy	38
Ichoosemoguri_9738bfde	pov	Avec plaisir !	game/ichoosemoguri.rpy	39
Ichoosemoguri_8a3599dd	mog	Parfait ! Donc tu voulais me parler de quelque chose ?	game/ichoosemoguri.rpy	41
Ichoosemoguri_19e3b68b	pov	Oui... Enfin si ça ne te dérange pas.	game/ichoosemoguri.rpy	42
Ichoosemoguri_1efd0479	mog	Bien sûr que non !	game/ichoosemoguri.rpy	44
Ichoosemoguri_e9e9b562	chuen	Bon, et bien je vais y aller alors ! Bon courage [povname].	game/ichoosemoguri.rpy	46
Ichoosemoguri_98cc9669	pov	Bon courage ?	game/ichoosemoguri.rpy	47
Ichoosemoguri_7799f9ed	chuen	Et à demain !	game/ichoosemoguri.rpy	48
Ichoosemoguri_cfcc82b4	mog	Je peux te raccompagner chez toi si tu veux, on discutera sur le chemin ?	game/ichoosemoguri.rpy	52
Ichoosemoguri_8b695e26	pov	Allons-y !	game/ichoosemoguri.rpy	53
Ichoosemoguri_3279f0e8		J'ai pas fini d'écrire, déso, clornide	game/ichoosemoguri.rpy	59
Meeting_Metalice_f4d96e27	innerpov	Bon. Classe 103, classe 103...	game/Meeting_Metalice.rpy	6
Meeting_Metalice_a1e2391d	innerpov	Ah voilà !	game/Meeting_Metalice.rpy	7
Meeting_Metalice_8a87a35b	innerpov	Bon ben on y va alors !	game/Meeting_Metalice.rpy	8
Meeting_Metalice_2e3f99ab	inc	Hep toi, le nouveau là-bas !	game/Meeting_Metalice.rpy	11
Meeting_Metalice_4759306a	inc	Hep toi, la nouvelle là-bas !	game/Meeting_Metalice.rpy	13
Meeting_Metalice_4283e7c3	met	Ah, salut ! C'est bien [povname] c'est ça ? Moi c'est Metalice !	game/Meeting_Metalice.rpy	17
Meeting_Metalice_ce90dc41	met	J'ai été désignée pour être ta marraine à ton arrivée, donc si tu as la moindre question, n'hésite pas !	game/Meeting_Metalice.rpy	21
Meeting_Metalice_5368dd3f	pov	Enchanté Metalice ! Je m'en remets à toi alors. 	game/Meeting_Metalice.rpy	24
Meeting_Metalice_35855e0b	pov	Enchantée Metalice ! Je m'en remets à toi alors.	game/Meeting_Metalice.rpy	26
Meeting_Metalice_27a351db	met	Alors, tu as pu faire connaissance avec quelques personnes ? J'ai vu que tu discutais avec Medoc et Moguri à l'entrée.	game/Meeting_Metalice.rpy	28
Meeting_Metalice_6cbb9b9a	met	Tu ferais bien de te méfier de ces deux gaillards. Ils pensent que rien ni personne ne leur résiste.	game/Meeting_Metalice.rpy	29
Meeting_Metalice_4de80d15	met	Et au vu de ta réaction, ils ont déjà fait forte impression sur toi apparemment, ahaha !	game/Meeting_Metalice.rpy	33
Meeting_Metalice_5553f2ec	pov	Q-quoi ? Non pas du tout, ils m'ont juste surpris tout à l'heure, rien de plus !	game/Meeting_Metalice.rpy	38
Meeting_Metalice_b7682026	pov	Q-quoi ? Non pas du tout, ils m'ont juste surprise tout à l'heure, rien de plus !	game/Meeting_Metalice.rpy	40
Meeting_Metalice_748035e0	met	Oh arrête, pas à moi hein ! Je suis là pour te donner TOUTES sortes de conseils.	game/Meeting_Metalice.rpy	44
Meeting_Metalice_b77d79fe	innerpov	Très subtil ce clin d'oeil...	game/Meeting_Metalice.rpy	45
Meeting_Metalice_e75a021b	met	Alors, t'as flashé sur lequel ?	game/Meeting_Metalice.rpy	49
Meeting_Metalice_676e5f07	met	Alors, t'as flashé sur lequel ?	game/Meeting_Metalice.rpy	51
